sampleID,aberrant_per_sample
GTEX-UPK5-0426-SM-3GAEK,0
GTEX-XUJ4-1826-SM-4BOOU,0
GTEX-139T8-0626-SM-5KLZX,0
GTEX-11ZUS-2626-SM-5FQUR,0
GTEX-132AR-0326-SM-5KM2C,0
GTEX-XBEC-0726-SM-4QARZ,0
GTEX-11EQ8-0926-SM-5H12V,0
GTEX-12BJ1-0926-SM-5EQ62,0
GTEX-WFG8-2126-SM-3GIKQ,0
GTEX-YEC3-1326-SM-4WWEL,0
GTEX-13PDP-0726-SM-5L3HP,0
GTEX-ZU9S-1826-SM-5NQ9E,0
GTEX-YF7O-1526-SM-5IFI6,0
GTEX-Y8E4-2026-SM-5IFJB,0
GTEX-ZYFD-0626-SM-5E44E,0
GTEX-Y5V6-2326-SM-4VDSA,0
GTEX-11EM3-1226-SM-5N9DD,0
GTEX-Y8LW-1526-SM-5IFHL,0
GTEX-WRHU-2826-SM-3MJG8,0
GTEX-1269C-0126-SM-5EQ5L,0
GTEX-13O61-1426-SM-5KM3D,0
GTEX-W5X1-2526-SM-3GILC,0
GTEX-WHWD-1826-SM-3LK6I,0
GTEX-X3Y1-2026-SM-3P5YM,0
GTEX-V1D1-2026-SM-3GAF4,0
GTEX-WHSB-1326-SM-3LK6W,0
GTEX-WHSE-0126-SM-3NMBT,0
GTEX-WY7C-2126-SM-3NB2R,0
GTEX-WFON-1926-SM-3LK7L,0
GTEX-WK11-2726-SM-3NMAQ,0
GTEX-WI4N-2726-SM-3LK7Y,0
GTEX-UPJH-0226-SM-3GADV,0
GTEX-WYJK-0526-SM-3NM8Z,0
GTEX-WYBS-0626-SM-3NMAS,0
GTEX-WFG7-2026-SM-3GIL7,0
GTEX-X4EP-0626-SM-3P621,0
GTEX-12ZZX-2426-SM-5GCOE,1
GTEX-ZAB5-2626-SM-5KM3Y,1
GTEX-ZPU1-1126-SM-4YCF3,1
GTEX-WYVS-1626-SM-3NM9R,1
GTEX-WH7G-2026-SM-3NMBL,1
GTEX-XV7Q-1826-SM-4BRUV,1
GTEX-VUSG-2326-SM-4KL1U,1
GTEX-13FTW-0326-SM-5K7UW,1
GTEX-11DXZ-2026-SM-5987S,1
GTEX-WHPG-2626-SM-3NMBR,1
GTEX-11UD2-2526-SM-5CVNU,1
GTEX-VJYA-1526-SM-3GIJV,1
GTEX-WEY5-2326-SM-3GIKK,2
GTEX-13OW8-1026-SM-5J1NQ,2
